title,field,removed_value,reason
Bioinformatics,P212 ISBN-13,9788130000000,bad-checksum
Bollywood,P212 ISBN-13,9788130000000,bad-checksum
C V Balakrishnante Kathakal,P212 ISBN-13,9788120000000,bad-checksum
Chandrayaan-chandranil Indiayude Kaiyoppu,P212 ISBN-13,9788130000000,bad-checksum
Changaathipparavakal,P212 ISBN-13,9788130000000,bad-checksum
Changalaikkum Bhranth,P212 ISBN-13,9788120000000,bad-checksum
Chattampi Swami Padanagal - 3 Volumes (print on Demand),P957 ISBN-10,1234567890,bad-checksum
Chinthasaritsagaram - 12 Vol (print on Demand),P212 ISBN-13,9788130000000,bad-checksum
Cinema Vakkukalil Kanumpol *,P212 ISBN-13,979353906436,malformed
Ariyendathum Orkendathum - 6 Volumes [malayalam],P212 ISBN-13,98741000000000,malformed
Covid Kutti Vayana Special,P212 ISBN-13,900000005052021,malformed
Dee Cee Balapadam,P212 ISBN-13,9788130000000,bad-checksum
Delhi Days,P212 ISBN-13,9788130000000,bad-checksum
Dhaivam Marichu,P212 ISBN-13,9190030000000,bad-checksum
Dhyanangal,P212 ISBN-13,81264134923,malformed
Dweepukalum Theerangalum,P212 ISBN-13,9788126477000,bad-checksum
Ethihasasookthikal,P212 ISBN-13,9788120000000,bad-checksum
Gandharvan,P212 ISBN-13,97893548228956,malformed
Gandhi - Sree Narayana Guru,P957 ISBN-10,8126439973,bad-checksum
Ganithasaasthrathinte Vichithralokam,P212 ISBN-13,9788120000000,bad-checksum
Ganithasasthram Ariyendathellam,P212 ISBN-13,9788130000000,bad-checksum
Ganithasasthram Super Quiz,P212 ISBN-13,9788120000000,bad-checksum
Gauri Lankesh,P212 ISBN-13,978938883071,malformed
Gilgamesh,P212 ISBN-13,9788120000000,bad-checksum
Goodnightum Mattu Pathinonnu Ekangangalum,P212 ISBN-13,9788120000000,bad-checksum
Gruhavaidyam,P212 ISBN-13,9788126408251,bad-checksum
Hamlet (malayalam),P212 ISBN-13,9788130000000,bad-checksum
Himalayaviharam,P212 ISBN-13,97881326436286,malformed
Himaalayo Naama Nagaadhiraja - Kazhchakalute Utharaayanam,P212 ISBN-13,97881326436279,malformed
Himalayasamaksham (pilgrimage Series),P212 ISBN-13,9788130000000,bad-checksum
Indiacharithram,P212 ISBN-13,9789353900007,placeholder
"Indian Oushadhamekhala Innale, Innu",P212 ISBN-13,97800001234,malformed
Indiayile Sahityaprathibhakal,P212 ISBN-13,9788190000000,placeholder
Iraqinte Varthamanam,P212 ISBN-13,9788130000000,bad-checksum
Ivideyellam Poymukham,P212 ISBN-13,9188126452019,bad-checksum
J C Danelinte Jeevithakatha,P212 ISBN-13,9788120000000,bad-checksum
Jane Eyre [malayalam],P212 ISBN-13,812648812,malformed
Janithaka Engineering,P212 ISBN-13,9788130000000,bad-checksum
Jeevanulla Upakaranangal,P212 ISBN-13,9788120000000,bad-checksum
Jerusalem:kutiyirakkappettavante Melvilasam,P212 ISBN-13,9788120000000,bad-checksum
Jingle Bells : Kuttikalkulla Christmas Kathakal,P212 ISBN-13,9788130000000,bad-checksum
Julius Caesar,P212 ISBN-13,9788130000000,bad-checksum
K Saraswathiyamma Ottakku Vazhinadannaval,P212 ISBN-13,978812644085,malformed
Kalidasan,P212 ISBN-13,978126423491,malformed
Kamaladasinte Thiranjedutha Kavthakal,P212 ISBN-13,9788130000000,bad-checksum
Kantupitithangalude Katha,P212 ISBN-13,9788130000000,bad-checksum
Karuthapakshikal,P212 ISBN-13,9788130000000,bad-checksum
Kathamalika - Pusthakakootam,P212 ISBN-13,8880000010005,bad-checksum
Kathamalika - Sammanapetti,P212 ISBN-13,8880000010003,bad-checksum
Kattalaril Kappiri,P957 ISBN-10,8125018502,bad-checksum
Kaumarathinte Manassastram,P212 ISBN-13,9788190000000,placeholder
Kavi,P212 ISBN-13,9788120000000,bad-checksum
Keralabhasha Ganangal Part 1,P212 ISBN-13,9788180000000,bad-checksum
Keralabhasha Ganangal/part 3-VAYANATTILE Adivasikalute Pattukal,P212 ISBN-13,9788180000000,bad-checksum
Keralacharithram,P212 ISBN-13,9788126415886,bad-checksum
Keralathile Chuvarchithrangal,P212 ISBN-13,9788180000000,bad-checksum
Keralathile Paampukal,P212 ISBN-13,9788130000000,bad-checksum
King Lear,P212 ISBN-13,9788130000000,bad-checksum
Koritharicha Nal,P212 ISBN-13,9788120000000,bad-checksum
Krishna Yajurvedam Taittiriya Samhita - 3 Volumes (print on Demand),P212 ISBN-13,9879353907082,bad-checksum
"Krishnadarsanam: Aadhyatmikatha,matham,rashtreeyam",P212 ISBN-13,9190030000000,bad-checksum
Kshanikam Pakshe,P212 ISBN-13,9788126405147,bad-checksum
Kulam Kara,P212 ISBN-13,9788126468880,bad-checksum
Kumaree Kumaranmarute Prasnangal - Print on Demand,P212 ISBN-13,9788120000000,bad-checksum
Kuttikale Ariyuka Kuttikalilninnariyuka,P212 ISBN-13,9788130000000,bad-checksum
Kuttikalude Aarogyarakasha,P212 ISBN-13,9788180000000,bad-checksum
Kuttikkavithakal - Multimedia Series [cd-rom],P212 ISBN-13,991014,malformed
Loka Classic Kathakal - 4 Volumes,P212 ISBN-13,97881264746531,malformed
Lokamathangalile Dhyanareethikal,P212 ISBN-13,9788130000000,bad-checksum
M T Yute Thirakkathakal,P212 ISBN-13,9788170000000,bad-checksum
M T Yute Thirakkathakal - 6 Volumes,P212 ISBN-13,978813000000,malformed
Madhurikunna Mathemathics,P212 ISBN-13,9788120000000,bad-checksum
Magic Oven Pachakavidhikal,P212 ISBN-13,9788126409533,bad-checksum
